시간,카테고리,키워드,월간검색량,블로그,뉴스,웹문서,포화도,난이도
16:10,증권/주식,환율조회,988000,15274,16617,11027741,0.02,🟢
16:10,증권/주식,엘지전자주가,191730,3953,698,348983,0.02,🟢
16:10,증권/주식,검색상위종목,759290,35118,5386,2634353,0.05,🟢
16:10,증권/주식,삼성전자주가,13310900,816809,620057,7499453,0.06,🟢
16:10,증권/주식,삼성중공업주가,1426700,82587,55018,1091275,0.06,🟢
16:10,증권/주식,리플시세,980400,58032,80826,1630398,0.06,🟢
16:10,증권/주식,삼성전자우주가,497000,34312,33062,936397,0.07,🟢
16:10,증권/주식,대한전선주가,370100,30241,15402,929123,0.08,🟢
16:10,증권/주식,비트코인시세,2929900,300496,156951,7092635,0.1,🟢
16:10,증권/주식,삼성전자우,777300,79380,103933,4822110,0.1,🟢
16:10,증권/주식,현대자동차주가,645800,73996,53370,2622282,0.11,🟢
16:10,증권/주식,에이비엘바이오주가,259200,29555,12356,361166,0.11,🟢
16:10,증권/주식,알테오젠주가,588700,67926,37765,782233,0.12,🟢
16:10,증권/주식,한미반도체주가,522000,61936,18288,999700,0.12,🟢
16:10,증권/주식,현대로템주가,405500,58950,22599,419717,0.15,🟢
16:10,증권/주식,종합주가지수,335000,50834,116242,2855528,0.15,🟢
16:10,증권/주식,한국전력주가,488500,76474,99485,1917475,0.16,🟢
16:10,증권/주식,이더리움시세,707400,121627,99812,1807307,0.17,🟢
16:10,증권/주식,나스닥선물,1686600,307855,192377,3676414,0.18,🟢
16:10,증권/주식,SK하이닉스주가,1846100,347777,247410,3056445,0.19,🟢
16:10,증권/주식,에코프로주가,881100,167286,85773,1305325,0.19,🟢
16:10,증권/주식,현대건설주가,450300,83306,65464,2886056,0.19,🟢
16:10,증권/주식,원달러환율,1157500,230240,1006798,11423149,0.2,🟢
16:10,증권/주식,주식시세,562300,114365,785851,21644997,0.2,🟢
16:10,증권/주식,삼성전기주가,404600,80858,63665,3320373,0.2,🟢
16:10,증권/주식,고려아연주가,253800,49714,36281,699114,0.2,🟢
16:10,증권/주식,이수페타시스주가,178860,35505,10987,203658,0.2,🟢
16:10,증권/주식,유한양행주가,235500,50522,29076,528256,0.21,🟢
16:10,증권/주식,하이닉스주가,1879000,404760,41976,3351238,0.22,🟢
16:10,증권/주식,HLB주가,244500,55152,36101,643846,0.23,🟢
16:10,증권/주식,한국항공우주주가,209750,49138,31321,814245,0.23,🟢
16:10,증권/주식,삼성SDI주가,630300,151448,117593,735298,0.24,🟢
16:10,증권/주식,SKC주가,191390,46288,28433,196047,0.24,🟢
16:10,증권/주식,달러환율,5217700,1313968,1422372,12887771,0.25,🟢
16:10,증권/주식,대한항공주가,298400,77373,61512,2430565,0.26,🟢
16:10,증권/주식,셀트리온주가,538500,149113,149465,1260136,0.28,🟢
16:10,증권/주식,삼성물산주가,249640,74985,92810,759423,0.3,🟢
16:10,증권/주식,현대중공업주가,317710,99340,100111,1070537,0.31,🟢
16:10,증권/주식,기아차주가,232730,73404,117660,1790953,0.32,🟢
16:10,증권/주식,현대모비스주가,234600,80655,99816,474248,0.34,🟢
16:10,증권/주식,SK하이닉스,2436100,860407,864067,10877626,0.35,🟢
16:10,증권/주식,하이브주가,208700,73098,32430,767202,0.35,🟢
16:10,증권/주식,에코프로비엠주가,289100,105896,66599,754760,0.37,🟢
16:10,증권/주식,현대차주가,874300,370830,365797,5957177,0.42,🟢
16:10,증권/주식,테슬라주가,1215000,529753,171381,3188516,0.44,🟢
16:10,증권/주식,쿠팡주가,244100,108791,19540,3628080,0.45,🟢
16:10,증권/주식,도지코인,318500,150118,50257,1952689,0.47,🟢
16:10,증권/주식,엔비디아주가,844600,433213,137964,3417956,0.51,🟡
16:10,증권/주식,카카오주가,793300,410826,211277,5924518,0.52,🟡
16:10,증권/주식,솔라나,227400,137420,61661,2320668,0.6,🟡
16:10,증권/주식,미국증시,2654200,1732732,469772,12710797,0.65,🟡
16:10,증권/주식,코스피지수,1386400,914521,877653,6388625,0.66,🟡
16:10,증권/주식,XRP,182100,147125,72052,6542748,0.81,🟡
16:10,증권/주식,LG전자주가,164730,136565,134514,3086779,0.83,🟡
16:10,증권/주식,다우지수,646600,584745,309753,2317297,0.9,🟡
16:10,증권/주식,이더리움,750200,718755,445147,7830845,0.96,🟡
16:10,증권/주식,나스닥,1313000,1305236,803701,15708595,0.99,🟡
16:10,증권/주식,유럽증시,464850,531586,174254,4180636,1.14,🟠
16:10,증권/주식,달러인덱스,196900,230861,127883,836336,1.17,🟠
16:10,증권/주식,아시아증시,236510,300056,153100,4608305,1.27,🟠
16:10,증권/주식,코스피200,170700,252964,215792,4771933,1.48,🟠
16:10,증권/주식,나스닥100,231300,366539,98009,3305843,1.58,🔴
16:10,증권/주식,코인시세,250600,426526,184386,9452360,1.7,🔴
16:10,증권/주식,다우나스닥,303120,518257,497180,1885916,1.71,🔴
16:10,증권/주식,나스닥다우지수,218910,429639,234924,1608637,1.96,🔴
16:10,증권/주식,뉴욕증시,292100,632071,817698,7151431,2.16,🔴
16:10,증권/주식,국제유가,295500,654819,716032,4958298,2.22,🔴
16:10,증권/주식,S&P500,430600,971149,703946,5703567,2.26,🔴
16:10,증권/주식,NAVER주가,231100,615483,68754,7064286,2.66,🔴
16:10,증권/주식,삼성전자주식,350690,936268,426106,43121252,2.67,🔴
16:10,증권/주식,코스닥,601400,1645775,2940153,17551688,2.74,🔴
16:10,증권/주식,주가지수,521000,1476137,396328,7118968,2.83,🔴
16:10,증권/주식,나스닥지수,267700,756863,534693,3733877,2.83,🔴
16:10,증권/주식,주요증시,313530,949324,795608,7798166,3.03,🔴
16:10,증권/주식,국내증시,329700,1091494,532393,13465392,3.31,🔴
16:10,증권/주식,해외증시,174230,601168,389808,11010002,3.45,🔴
16:10,증권/주식,네이버주식,205500,843866,12969,52999513,4.11,🔴
16:10,증권/주식,증시,595700,2619871,3419878,23883972,4.4,🔴
16:10,증권/주식,증권,452300,4870625,9918686,79506937,10.77,🔴
16:10,증권/주식,미국금리,163000,2398834,1669859,15042149,14.72,🔴
16:13,부동산,미리내집,40600,8798,165338,25846666,0.22,🟢
16:13,부동산,디스코부동산,36900,14184,1487,558535,0.38,🟢
16:13,부동산,신생아특례대출,139800,57951,10920,532302,0.41,🟢
16:13,부동산,브라이튼한남,11350,4984,837,38925,0.44,🟢
16:13,부동산,국립소방병원,38800,18452,43038,3146333,0.48,🟢
16:13,부동산,서울숲힐스테이트,10240,5383,2984,182592,0.53,🟡
16:13,부동산,관악드림타운,16730,12332,2167,470076,0.74,🟡
16:13,부동산,래미안원페를라,14120,12390,3958,55264,0.88,🟡
16:13,부동산,SH장기전세,22630,27750,13955,274381,1.23,🟠
16:13,부동산,스타필드수원,145640,192980,26745,1534824,1.33,🟠
16:13,부동산,진접역,16610,23276,2741,2891232,1.4,🟠
16:13,부동산,장위자이레디언트,8840,13051,2865,20885,1.48,🟠
16:13,부동산,보라매SK뷰,8510,12840,1854,178398,1.51,🔴
16:13,부동산,청년안심주택,42400,65259,38948,4339880,1.54,🔴
16:13,부동산,SH공사,52900,83178,133990,1635808,1.57,🔴
16:13,부동산,부동산스터디,107800,245444,16250,2420488,2.28,🔴
16:13,부동산,은마아파트,48870,112942,37269,971180,2.31,🔴
16:13,부동산,성북1구역,8790,22569,32752,1069674,2.57,🔴
16:13,부동산,장기전세주택,14580,38053,26302,3909164,2.61,🔴
16:13,부동산,헬리오시티,56120,153701,17002,626789,2.74,🔴
16:13,부동산,파크리오아파트,15030,41121,6502,68256,2.74,🔴
16:13,부동산,GTXA노선,76500,213985,90518,789969,2.8,🔴
16:13,부동산,동탄아파트매매,8760,29755,28772,635536,3.4,🔴
16:13,부동산,동탄아파트,12750,43507,146563,2684251,3.41,🔴
16:13,부동산,LH임대주택,89200,311953,188413,2786566,3.5,🔴
16:13,부동산,창동역,32170,112948,13450,1721821,3.51,🔴
16:13,부동산,아파트실거래가조회,28700,104267,4007,5654798,3.63,🔴
16:13,부동산,LH행복주택,21260,86047,76104,2037095,4.05,🔴
16:13,부동산,행복주택,48900,226682,410539,14826371,4.64,🔴
16:13,부동산,동탄역롯데캐슬,12600,63075,14321,493507,5.01,🔴
16:13,부동산,삼송역,22500,114531,11257,759842,5.09,🔴
16:13,부동산,LH청약,38920,201666,92450,1178189,5.18,🔴
16:13,부동산,청량리역,81010,477688,60321,729522,5.9,🔴
16:13,부동산,태평역,9220,55532,1597,2666021,6.02,🔴
16:13,부동산,새만금,42860,293218,362952,5956800,6.84,🔴
16:13,부동산,상도역,8680,61400,5766,1117969,7.07,🔴
16:13,부동산,동탄역,42560,326057,53683,4987935,7.66,🔴
16:13,부동산,부평역,47080,411325,29128,5108824,8.74,🔴
16:13,부동산,부평구청역,13190,122368,11573,1375905,9.28,🔴
16:13,부동산,3기신도시,21090,238023,156647,6448197,11.29,🔴
16:13,부동산,컨테이너하우스,11940,146110,16973,1136987,12.24,🔴
16:13,부동산,청년임대주택,21650,271652,179249,5443979,12.55,🔴
16:13,부동산,벽산블루밍,8230,105372,8383,501783,12.8,🔴
16:13,부동산,서울아파트매매,23150,349621,427333,12554296,15.1,🔴
16:13,부동산,청년주택,47300,747941,543132,15359197,15.81,🔴
16:13,부동산,모아타운,14140,227647,56581,4722249,16.1,🔴
16:13,부동산,경기광주역,18510,313227,128303,15968723,16.92,🔴
16:13,부동산,농막,16370,307146,15340,911836,18.76,🔴
16:13,부동산,청년주택청약,9600,180091,55017,1460350,18.76,🔴
16:13,부동산,아파트실거래가,44700,869635,158899,15415925,19.45,🔴
16:13,부동산,동탄호수공원,13570,298286,22635,918876,21.98,🔴
16:13,부동산,민간임대아파트,14200,320495,52515,3615338,22.57,🔴
16:13,부동산,아파트매매,40480,1175457,585872,22876468,29.04,🔴
16:13,부동산,단기임대,18840,582180,87173,7702180,30.9,🔴
16:13,부동산,청약홈페이지,9340,328305,117626,4856335,35.15,🔴
16:13,부동산,장기전세,10800,394996,144376,4921885,36.57,🔴
16:13,부동산,임대아파트입주조건,8280,316629,13003,2831833,38.24,🔴
16:13,부동산,레지던스,11290,454517,90388,3978655,40.26,🔴
16:13,부동산,주택청약,38100,1595318,755745,5442932,41.87,🔴
16:13,부동산,매입임대주택,9260,424858,148149,4402639,45.88,🔴
16:13,부동산,잠실아파트,11390,568487,143957,3024061,49.91,🔴
16:13,부동산,청약,56200,3231272,1423572,81025773,57.5,🔴
16:13,부동산,공공임대주택,10580,676498,272627,10800843,63.94,🔴
16:13,부동산,청약일정,14690,976315,230350,23389522,66.46,🔴
16:13,부동산,서울집값,12880,907190,476303,7439916,70.43,🔴
16:13,부동산,주택청약1순위조건,10390,1067905,44078,970875,102.78,🔴
16:13,부동산,실거래가,9220,1124102,220290,17778204,121.92,🔴
16:13,부동산,서울월세,9000,1334408,251400,14731731,148.27,🔴
16:13,부동산,임대아파트,19740,3261905,211190,19087703,165.24,🔴
16:13,부동산,오피스텔,30200,4995202,705015,25001054,165.4,🔴
16:13,부동산,원룸,28620,5412020,253021,27690562,189.1,🔴
16:13,부동산,아파트시세,14480,2980857,445054,16793526,205.86,🔴
16:13,부동산,월세,27730,6677893,535474,28964599,240.82,🔴
16:13,부동산,임대주택,14240,3766058,804498,22263869,264.47,🔴
16:13,부동산,단독주택,10260,2728000,413069,20743181,265.89,🔴
16:13,부동산,전세,27980,7458278,1294929,36654673,266.56,🔴
16:13,부동산,서울아파트,17550,6519950,2297390,69476342,371.51,🔴
